player_id,player_name,citizenship,position,main_position
1000152,Sodick Adejumo (1000152),France  Nigeria,Midfield - Defensive Midfield,Midfield
1000161,Lenny Stoltz (1000161),France  Tunisia,Attack - Centre-Forward,Attack
100012,Liridon Osmanaj (100012),Slovenia  Albania,Attack - Centre-Forward,Attack
100071,Mourad El-Othmani (100071),Morocco,Defender - Right-Back,Defender
100079,,Morocco  France,Midfield,Midfield
100080,,France  Morocco,Midfield,Midfield
10013,Dele Adebola (10013),Nigeria,Attack - Centre-Forward,Attack
1001546,Jerome Kortebusch (1001546),Germany  Nigeria,Defender - Right-Back,Defender
1001581,Ilan Bacha (1001581),France  Algeria,Midfield - Defensive Midfield,Midfield
1001578,Dean Vranici (1001578),Albania  Italy,Midfield - Attacking Midfield,Midfield
1001787,Mactar Tine (1001787),Senegal,Midfield - Central Midfield,Midfield
1001784,Anis Ouchouache (1001784),France  Algeria,Defender - Centre-Back,Defender
1001797,Lassana Diabaté (1001797),France  Mali,Goalkeeper,Goalkeeper
1001817,Edmilson Mendes (1001817),Guinea-Bissau,Attack - Centre-Forward,Attack
1001854,Kanayo Megwa (1001854),England  Nigeria,Defender - Right-Back,Defender
10024,Yazid Mansouri (10024),Algeria  France,Midfield - Central Midfield,Midfield
1003166,Ekerette Udom (1003166),Nigeria,Defender - Centre-Back,Defender
1003546,Mark Ugboh (1003546),Nigeria,Goalkeeper,Goalkeeper
1003547,Obule Moses (1003547),Nigeria,Attack - Left Winger,Attack
1004035,Shayan Soltanzadeh (1004035),Canada  Iran,Defender - Right-Back,Defender
1004048,Emenike Nwogu (1004048),Nigeria,Midfield,Midfield
1004261,Mustafa Adigüzel (1004261),France  Türkiye,Goalkeeper,Goalkeeper
1004253,Joseph Farouz (1004253),Egypt  United States,Midfield - Attacking Midfield,Midfield
1004346,Pape Führer (1004346),Senegal  France,Midfield - Attacking Midfield,Midfield
1004347,Ahmed Djime (1004347),France  Cameroon,Defender - Centre-Back,Defender
1004344,Ali Dembélé (1004344),France  Mali,Defender - Right-Back,Defender
1004478,Yanis Rafii (1004478),France  Morocco,Attack - Centre-Forward,Attack
1004479,Zoumana Diallo (1004479),France  Mali,Attack - Centre-Forward,Attack
1004619,Dehmaine Tabibou (1004619),France  Comoros,Midfield - Central Midfield,Midfield
1004608,Malang Gomes (1004608),France  Senegal,Midfield - Defensive Midfield,Midfield
1004609,Abdoulaye Camara (1004609),France  Guinea,Attack - Right Winger,Attack
1004834,George Ilenikhena (1004834),Nigeria  France,Attack - Centre-Forward,Attack
1004983,Elhad Boinali (1004983),Comoros  France,Midfield,Midfield
1005152,Samuel Oti (1005152),Nigeria,Defender - Centre-Back,Defender
1005239,Philippe Lanquetin (1005239),France  Tunisia,Defender - Centre-Back,Defender
1005288,Stéphane Tchangodei (1005288),France  Tunisia,Midfield - Attacking Midfield,Midfield
1005529,Keba Sylla (1005529),France  Senegal,Attack - Centre-Forward,Attack
100557,Mehmet Çolak (100557),Türkiye,Defender - Centre-Back,Defender
1005943,Bourama Koné (1005943),Mali,Attack,Attack
100628,Flamur Kastrati (100628),Kosovo,Attack - Centre-Forward,Attack
1006411,Jaydee Canvot (1006411),France  Senegal,Defender - Centre-Back,Defender
1006410,Noa Kotto Kotto Mouyema (1006410),France  Cameroon,Attack - Centre-Forward,Attack
1006896,Cemil Kandemir (1006896),Türkiye,Midfield,Midfield
1006888,Cristian Boateng (1006888),Spain  Equatorial Guinea,Midfield - Central Midfield,Midfield
1006923,Adil Lechkar (1006923),Netherlands  Morocco,Midfield - Right Midfield,Midfield
1007184,Sebastian Alabay (1007184),Türkiye  Italy,Attack - Centre-Forward,Attack
1007138,Sami Jalal (1007138),Denmark  Tunisia,Attack - Left Winger,Attack
1008154,Gökhan Bulut (1008154),Türkiye,Defender - Right-Back,Defender
1008031,Abdurrahman Üresin (1008031),Türkiye,Defender - Right-Back,Defender
1008165,Suat Vatansever (1008165),Türkiye,Midfield - Central Midfield,Midfield
1008000,Giulio Dema (1008000),Italy  Albania,Midfield - Defensive Midfield,Midfield
1008738,Khadim Dieng (1008738),Senegal,Attack - Centre-Forward,Attack
1008877,Fabrice Tamba (1008877),Senegal,Attack - Right Winger,Attack
1009222,Görkem Altun (1009222),Türkiye,Defender - Centre-Back,Defender
1009265,Firas Rassaa (1009265),France  Tunisia,Midfield,Midfield
1009300,Berkay Aydoğmuş (1009300),Türkiye,Midfield - Central Midfield,Midfield
1009496,Ante Susak (1009496),Croatia  Bosnia-Herzegovina,Defender - Left-Back,Defender
