Date,Day,Venue,Team,Opponent,Name,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,T_att,T_succ,Season,WDL,Team_score,Opp_score,Team_CS,Was_home,GW,Clean_name,FPL_name,FPL_team,FPL_opp_team,Name_original,FPL_pos,FPL_ast,Bonus,Bps,Player_CS,Creativity,Element,Fixture,Player_GC,Goals_scored,ICT_index,Influence,Kickoff_time,FPL_min,Own_goals,Penalties_missed,Penalties_saved,Saves,Selected,Threat,FPL_points,Transfers_balance,Transfers_in,Transfers_out,Value,FPL_GW,xP,FPL_xA,FPL_xGI,FPL_xG,FPL_xGC,Opp_rating,Team_rating,Min_points,clean_name,citizenship,main_position,is_ramadan,days_into_ramadan
2021-08-14,Sat,Home,Everton,Southampton,Alex-Iwobi,N,"RW,RM",21.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0,0.3,0.3,0.0,2.0,2.0,6.0,7.0,85.7,3.0,12.0,1.0,2.0,0.0,2021-22,W,3,1,0.0,1.0,1,Alex-Iwobi,Alex-Iwobi,Everton,Southampton,Alex Iwobi,MID,1.0,0.0,7.0,0.0,11.0,174.0,4.0,0.0,0.0,5.5,20.6,2021-08-14T14:00:00Z,20.0,0.0,0.0,0.0,0.0,12093.0,23.0,4.0,0.0,0.0,0.0,6.0,1.0,,,,,,1700.75109863,1771.19372559,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-08-21,Sat,Away,Everton,Leeds United,Alex-Iwobi,Y,RM,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,2.0,1.0,2.0,0.0,0.0,0.4,2.0,0.0,15.0,17.0,88.2,1.0,12.0,0.0,2.0,2.0,2021-22,D,2,2,0.0,0.0,2,Alex-Iwobi,Alex-Iwobi,Everton,Leeds,Alex Iwobi,MID,0.0,0.0,12.0,0.0,28.9,174.0,14.0,2.0,0.0,4.4,10.6,2021-08-21T14:00:00Z,74.0,0.0,0.0,0.0,0.0,18620.0,4.0,2.0,390.0,2678.0,2288.0,6.0,2.0,,,,,,1774.57873535,1778.28051758,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-08-28,Sat,Away,Everton,Brighton,Alex-Iwobi,N,FW,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,12.0,14.0,85.7,2.0,17.0,4.0,4.0,1.0,2021-22,W,2,0,1.0,0.0,3,Alex-Iwobi,Alex-Iwobi,Everton,Brighton,Alex Iwobi,MID,0.0,0.0,4.0,0.0,22.9,174.0,22.0,0.0,0.0,5.1,6.0,2021-08-28T14:00:00Z,20.0,0.0,0.0,0.0,0.0,17089.0,22.0,1.0,-2726.0,1705.0,4431.0,6.0,3.0,,,,,,1738.98168945,1780.00732422,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-09-13,Mon,Home,Everton,Burnley,Alex-Iwobi,N,LW,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,4.0,0.0,0.0,0.0,2021-22,W,3,1,0.0,1.0,4,Alex-Iwobi,Alex-Iwobi,Everton,Burnley,Alex Iwobi,MID,0.0,0.0,3.0,0.0,1.2,174.0,35.0,0.0,0.0,0.3,0.0,2021-09-13T19:00:00Z,2.0,0.0,0.0,0.0,0.0,17308.0,2.0,1.0,-1450.0,2188.0,3638.0,5.9,4.0,,,,,,1699.07641602,1790.83557129,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-09-18,Sat,Away,Everton,Aston Villa,Alex-Iwobi,Y,"LM,FW",80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,19.0,25.0,76.0,2.0,12.0,1.0,1.0,1.0,2021-22,L,0,3,0.0,0.0,5,Alex-Iwobi,Alex-Iwobi,Everton,Aston Villa,Alex Iwobi,MID,0.0,0.0,6.0,0.0,3.0,174.0,41.0,3.0,0.0,1.5,3.8,2021-09-18T16:30:00Z,80.0,0.0,0.0,0.0,0.0,17197.0,8.0,2.0,-988.0,1289.0,2277.0,5.9,5.0,,,,,,1739.45178223,1797.79846191,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-09-25,Sat,Home,Everton,Norwich City,Alex-Iwobi,Y,LM,88.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,1.0,1.0,2.0,0.0,0.0,0.1,3.0,0.0,35.0,40.0,87.5,9.0,26.0,4.0,1.0,1.0,2021-22,W,2,0,1.0,1.0,6,Alex-Iwobi,Alex-Iwobi,Everton,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.4140625,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-10-17,Sun,Home,Everton,West Ham,Alex-Iwobi,Y,"LM,FW",78.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.3,0.3,0.0,4.0,0.0,12.0,19.0,63.2,2.0,17.0,1.0,0.0,0.0,2021-22,L,0,1,0.0,1.0,8,Alex-Iwobi,Alex-Iwobi,Everton,West Ham,Alex Iwobi,MID,0.0,0.0,1.0,0.0,1.6,174.0,74.0,1.0,0.0,4.6,0.0,2021-10-17T13:00:00Z,78.0,0.0,0.0,0.0,0.0,14146.0,48.0,2.0,-2206.0,65.0,2271.0,5.9,8.0,,,,,,1818.15319824,1787.28979492,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-10-23,Sat,Home,Everton,Watford,Alex-Iwobi,N,LM,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,2.0,1.0,0.0,0.0,2021-22,L,2,5,0.0,1.0,9,Alex-Iwobi,Alex-Iwobi,Everton,Watford,Alex Iwobi,MID,0.0,0.0,3.0,0.0,0.7,174.0,86.0,4.0,0.0,0.2,1.2,2021-10-23T14:00:00Z,13.0,0.0,0.0,0.0,0.0,14674.0,0.0,1.0,222.0,1036.0,814.0,5.8,9.0,,,,,,1659.01513672,1782.58630371,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-11-01,Mon,Away,Everton,Wolves,Alex-Iwobi,Y,"RW,LM",77.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,1.0,1.0,2.0,0.2,0.2,0.6,3.0,0.0,19.0,20.0,95.0,1.0,12.0,1.0,2.0,2.0,2021-22,L,1,2,0.0,0.0,10,Alex-Iwobi,Alex-Iwobi,Everton,Wolves,Alex Iwobi,MID,0.0,2.0,30.0,0.0,23.3,174.0,100.0,2.0,1.0,8.8,42.0,2021-11-01T20:00:00Z,77.0,0.0,0.0,0.0,0.0,14271.0,23.0,9.0,-691.0,400.0,1091.0,5.8,10.0,,,,,,1743.6998291,1761.73474121,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-11-07,Sun,Home,Everton,Tottenham,Alex-Iwobi,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,D,0,0,1.0,1.0,11,Alex-Iwobi,Alex-Iwobi,Everton,Spurs,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.0,174.0,106.0,0.0,0.0,0.0,0.0,2021-11-07T14:00:00Z,0.0,0.0,0.0,0.0,0.0,14793.0,0.0,0.0,134.0,648.0,514.0,5.8,11.0,,,,,,1791.29174805,1752.7434082,False,Alex Iwobi,Nigeria  England,Attack,False,0
2021-11-21,Sun,Away,Everton,Manchester City,Alex-Iwobi,N,"LM,RM",74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,26.0,61.5,1.0,24.0,2.0,5.0,3.0,2021-22,L,0,3,0.0,0.0,12,Alex-Iwobi,Alex-Iwobi,Everton,Man City,Alex Iwobi,MID,0.0,0.0,11.0,0.0,9.2,174.0,115.0,3.0,0.0,2.6,10.8,2021-11-21T14:00:00Z,73.0,0.0,0.0,0.0,0.0,14768.0,6.0,2.0,-326.0,413.0,739.0,5.8,12.0,,,,,,2003.76257324,1753.05944824,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-11-28,Sun,Away,Everton,Brentford,Alex-Iwobi,Y,"FW,RM",90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,48.0,1.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,31.0,38.0,81.6,6.0,32.0,2.0,4.0,2.0,2021-22,L,0,1,0.0,0.0,13,Alex-Iwobi,Alex-Iwobi,Everton,Brentford,Alex Iwobi,MID,0.0,0.0,10.0,0.0,7.5,174.0,122.0,1.0,0.0,5.9,13.0,2021-11-28T14:00:00Z,90.0,0.0,0.0,0.0,0.0,15414.0,38.0,2.0,328.0,834.0,506.0,5.8,13.0,,,,,,1686.97009277,1753.78125,True,Alex Iwobi,Nigeria  England,Attack,False,0
